模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
GXL-00-15-01,GXL-00-15-01,粱,工型粱,,,铁,锭铁,,,,
GXL-00-15-02,GXL-00-15-02,粱,工型粱,,,铁,锭铁,,,,
GXL-00-15-03,GXL-00-15-03,粱,工型粱,,,铁,锭铁,,,,
TXL-01-10-01,TXL-01-10-01,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-02,TXL-01-10-02,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-03,TXL-01-10-03,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-04,TXL-01-10-04,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-05,TXL-01-10-05,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-06,TXL-01-10-06,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-07,TXL-01-10-07,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-08,TXL-01-10-08,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-09,TXL-01-10-09,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-10,TXL-01-10-10,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-11,TXL-01-10-11,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-12,TXL-01-10-12,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-13,TXL-01-10-13,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-14,TXL-01-10-14,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-15,TXL-01-10-15,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-16,TXL-01-10-16,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-17,TXL-01-10-17,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-18,TXL-01-10-18,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-19,TXL-01-10-19,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-10-20,TXL-01-10-20,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-01,TXL-01-20-01,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-02,TXL-01-20-02,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-03,TXL-01-20-03,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-04,TXL-01-20-04,粱,一类T型粱,,,铁,锻铁,,,,
